500 4990 
13 238 1
13 317 1
13 240 1
13 95 1
13 466 1
13 284 1
13 203 1
13 442 1
14 442 1
14 426 1
14 350 1
14 196 1
14 349 1
14 85 1
14 414 1
14 170 1
14 464 1
14 394 1
14 127 1
14 83 1
14 286 1
14 160 1
14 419 1
15 253 1
15 468 1
15 56 1
15 126 1
15 82 1
15 148 1
15 45 1
15 42 1
15 273 1
15 150 1
15 494 1
15 38 1
15 146 1
15 70 1
15 204 1
15 252 1
15 328 1
16 108 1
16 292 1
16 293 1
16 253 1
16 205 1
16 153 1
16 168 1
16 390 1
16 264 1
16 413 1
16 218 1
16 381 1
16 361 1
16 89 1
16 221 1
16 468 1
16 51 1
16 378 1
16 374 1
16 171 1
17 79 1
17 483 1
17 100 1
17 269 1
17 474 1
17 109 1
17 259 1
17 207 1
17 469 1
17 253 1
17 265 1
17 297 1
17 388 1
17 283 1
17 268 1
17 32 1
17 366 1
18 387 1
18 432 1
18 390 1
18 251 1
18 274 1
18 29 1
18 37 1
18 267 1
18 127 1
18 48 1
18 307 1
18 241 1
18 242 1
18 150 1
18 449 1
18 500 1
18 336 1
18 427 1
18 409 1
18 377 1
18 281 1
18 463 1
18 368 1
19 303 1
19 337 1
19 342 1
19 87 1
19 47 1
19 440 1
19 295 1
19 332 1
19 333 1
19 400 1
19 253 1
19 179 1
19 126 1
19 429 1
19 102 1
19 302 1
19 23 1
19 139 1
20 154 1
20 348 1
20 483 1
20 126 1
20 420 1
20 92 1
20 63 1
20 86 1
20 37 1
20 85 1
20 29 1
20 254 1
20 45 1
20 274 1
20 52 1
20 199 1
20 130 1
20 161 1
21 159 1
21 248 1
21 385 1
21 393 1
21 234 1
21 150 1
21 197 1
21 400 1
21 47 1
21 268 1
21 76 1
21 145 1
21 339 1
21 225 1
21 273 1
21 418 1
21 30 1
21 347 1
21 420 1
21 180 1
21 303 1
21 112 1
22 367 1
22 81 1
22 85 1
22 64 1
22 475 1
22 163 1
22 126 1
22 489 1
22 218 1
22 125 1
22 470 1
22 337 1
22 355 1
22 216 1
22 53 1
22 233 1
22 384 1
22 155 1
22 313 1
22 201 1
22 398 1
23 397 1
23 411 1
23 58 1
23 236 1
23 124 1
23 81 1
23 211 1
23 79 1
23 440 1
23 462 1
23 284 1
23 493 1
23 101 1
23 483 1
23 422 1
23 447 1
23 429 1
23 88 1
23 87 1
23 115 1
23 269 1
23 438 1
23 326 1
23 256 1
23 72 1
23 408 1
23 159 1
23 157 1
24 245 1
24 394 1
24 72 1
24 160 1
24 244 1
24 249 1
24 355 1
24 150 1
24 77 1
24 35 1
24 472 1
24 44 1
24 436 1
24 177 1
24 460 1
24 179 1
24 226 1
24 480 1
24 125 1
24 372 1
24 484 1
25 181 1
25 396 1
25 253 1
25 327 1
25 219 1
25 353 1
25 52 1
25 363 1
25 324 1
25 63 1
25 127 1
25 64 1
25 258 1
25 480 1
25 47 1
25 374 1
25 345 1
25 191 1
26 53 1
26 286 1
26 493 1
26 261 1
26 290 1
26 232 1
26 329 1
26 404 1
26 124 1
26 314 1
26 498 1
26 401 1
26 495 1
26 59 1
26 238 1
26 379 1
26 202 1
26 86 1
26 96 1
26 251 1
26 356 1
26 125 1
26 56 1
26 342 1
27 86 1
27 258 1
27 303 1
27 122 1
27 126 1
27 39 1
27 493 1
27 467 1
27 204 1
27 305 1
27 197 1
27 182 1
27 321 1
27 146 1
27 113 1
27 172 1
27 492 1
27 232 1
27 290 1
28 319 1
28 500 1
28 318 1
28 55 1
28 148 1
28 147 1
28 186 1
28 415 1
28 379 1
28 279 1
28 469 1
28 37 1
28 369 1
29 298 1
29 316 1
29 257 1
29 74 1
29 156 1
29 473 1
29 445 1
29 184 1
29 188 1
29 160 1
29 287 1
29 68 1
29 207 1
29 353 1
29 76 1
29 374 1
29 197 1
29 141 1
29 102 1
29 425 1
30 363 1
30 463 1
30 339 1
30 296 1
30 55 1
30 116 1
30 221 1
30 362 1
30 398 1
30 137 1
30 366 1
30 161 1
30 388 1
31 240 1
31 89 1
31 216 1
31 335 1
31 208 1
31 271 1
31 332 1
31 336 1
31 187 1
31 173 1
31 159 1
31 91 1
31 242 1
31 307 1
31 449 1
32 256 1
32 197 1
32 119 1
32 341 1
32 35 1
32 298 1
32 307 1
32 135 1
32 145 1
32 453 1
32 161 1
32 306 1
32 343 1
32 299 1
32 184 1
32 52 1
32 139 1
32 217 1
32 126 1
32 411 1
32 358 1
33 321 1
33 415 1
33 144 1
33 154 1
33 114 1
33 118 1
33 260 1
33 229 1
33 384 1
33 217 1
33 242 1
33 222 1
33 282 1
33 203 1
33 207 1
33 332 1
33 369 1
33 246 1
33 297 1
33 73 1
34 476 1
34 292 1
34 469 1
34 233 1
34 322 1
34 346 1
34 139 1
34 92 1
34 45 1
34 136 1
34 498 1
34 167 1
34 127 1
34 395 1
34 185 1
34 353 1
34 280 1
34 283 1
34 399 1
34 91 1
34 160 1
34 445 1
34 253 1
34 60 1
34 213 1
35 226 1
35 135 1
35 378 1
35 174 1
35 450 1
35 131 1
35 248 1
35 376 1
35 444 1
35 136 1
35 219 1
35 301 1
35 474 1
35 242 1
35 101 1
35 440 1
35 126 1
35 263 1
35 377 1
35 317 1
36 205 1
36 487 1
36 146 1
36 237 1
36 330 1
36 212 1
36 447 1
36 221 1
36 280 1
36 94 1
36 485 1
36 132 1
36 40 1
36 318 1
36 50 1
36 201 1
37 70 1
37 488 1
37 173 1
37 414 1
37 463 1
37 122 1
37 113 1
37 64 1
37 40 1
37 131 1
37 294 1
37 444 1
37 185 1
37 252 1
37 201 1
37 420 1
37 477 1
37 211 1
37 202 1
37 457 1
38 296 1
38 55 1
38 287 1
38 445 1
38 59 1
38 347 1
38 302 1
38 316 1
38 206 1
38 286 1
38 389 1
38 54 1
38 489 1
38 361 1
38 185 1
38 228 1
38 173 1
38 313 1
38 407 1
38 207 1
38 56 1
38 88 1
38 454 1
38 130 1
38 410 1
38 325 1
38 188 1
38 248 1
39 119 1
39 265 1
39 393 1
39 228 1
39 158 1
39 122 1
39 357 1
39 186 1
39 239 1
39 263 1
39 273 1
39 183 1
39 387 1
39 175 1
39 73 1
39 425 1
39 111 1
39 279 1
40 224 1
40 145 1
40 362 1
40 262 1
40 429 1
40 56 1
40 209 1
40 370 1
40 59 1
40 256 1
40 292 1
40 397 1
40 356 1
40 468 1
40 287 1
40 89 1
41 269 1
41 437 1
41 195 1
41 198 1
41 448 1
41 326 1
41 396 1
41 281 1
41 117 1
41 163 1
41 43 1
41 149 1
41 493 1
41 327 1
41 371 1
41 314 1
41 459 1
41 401 1
41 310 1
41 340 1
41 143 1
41 353 1
41 291 1
41 289 1
41 447 1
41 101 1
41 54 1
42 63 1
42 434 1
42 372 1
42 451 1
42 374 1
42 396 1
42 51 1
42 420 1
42 168 1
42 101 1
42 424 1
42 448 1
42 205 1
42 251 1
43 220 1
43 474 1
43 94 1
43 381 1
43 201 1
43 58 1
43 437 1
43 200 1
43 254 1
43 212 1
43 379 1
43 350 1
43 418 1
43 233 1
43 416 1
43 262 1
43 180 1
43 341 1
43 49 1
44 258 1
44 224 1
44 417 1
44 386 1
44 273 1
44 374 1
44 439 1
44 459 1
44 83 1
44 338 1
44 446 1
44 167 1
44 56 1
44 86 1
44 129 1
44 334 1
44 249 1
44 87 1
44 236 1
44 203 1
44 54 1
45 237 1
45 486 1
45 352 1
45 110 1
45 340 1
45 239 1
45 263 1
45 212 1
45 455 1
45 140 1
45 151 1
45 308 1
45 366 1
45 431 1
45 444 1
45 381 1
45 456 1
45 384 1
46 371 1
46 202 1
46 454 1
46 117 1
46 142 1
46 165 1
46 483 1
46 154 1
46 427 1
46 281 1
46 97 1
47 497 1
47 287 1
47 215 1
47 386 1
47 384 1
47 264 1
47 435 1
47 233 1
47 483 1
47 175 1
47 184 1
47 206 1
47 137 1
47 375 1
47 312 1
47 377 1
47 139 1
47 134 1
47 166 1
47 392 1
47 301 1
47 146 1
47 356 1
47 239 1
48 179 1
48 329 1
48 424 1
48 290 1
48 231 1
48 162 1
48 138 1
48 322 1
48 359 1
48 315 1
48 496 1
48 382 1
48 102 1
48 121 1
48 462 1
48 269 1
48 328 1
48 408 1
48 198 1
48 97 1
49 451 1
49 64 1
49 252 1
49 370 1
49 386 1
49 123 1
49 423 1
49 148 1
49 83 1
49 347 1
49 363 1
49 226 1
49 191 1
49 293 1
49 146 1
49 483 1
49 172 1
49 304 1
50 271 1
50 268 1
50 69 1
50 194 1
50 396 1
50 200 1
50 414 1
50 241 1
50 275 1
50 451 1
50 354 1
50 402 1
50 174 1
50 219 1
50 283 1
50 462 1
50 112 1
50 126 1
51 125 1
51 496 1
51 203 1
51 238 1
51 364 1
51 284 1
51 345 1
51 159 1
51 200 1
51 218 1
51 174 1
51 417 1
51 367 1
51 400 1
51 126 1
51 370 1
51 250 1
52 446 1
52 415 1
52 309 1
52 400 1
52 308 1
52 160 1
52 75 1
52 385 1
52 425 1
52 187 1
52 88 1
52 493 1
52 351 1
52 431 1
52 76 1
52 106 1
52 406 1
53 275 1
53 122 1
53 405 1
53 348 1
53 309 1
53 116 1
53 373 1
53 260 1
53 273 1
53 97 1
53 451 1
53 304 1
53 162 1
53 306 1
53 63 1
53 193 1
53 201 1
53 284 1
53 471 1
53 484 1
54 241 1
54 105 1
54 446 1
54 355 1
54 303 1
54 437 1
54 401 1
54 96 1
54 439 1
54 440 1
54 225 1
54 77 1
54 58 1
54 476 1
54 80 1
54 243 1
55 89 1
55 244 1
55 101 1
55 259 1
55 375 1
55 188 1
55 320 1
55 203 1
55 319 1
55 207 1
55 339 1
55 424 1
55 158 1
55 458 1
55 217 1
55 353 1
55 352 1
55 267 1
55 407 1
55 405 1
56 401 1
56 203 1
56 184 1
56 162 1
56 402 1
56 187 1
56 151 1
56 431 1
56 445 1
56 340 1
56 137 1
56 305 1
56 179 1
56 275 1
56 273 1
56 455 1
56 97 1
56 324 1
56 442 1
56 486 1
56 164 1
57 342 1
57 128 1
57 289 1
57 375 1
57 101 1
57 324 1
57 340 1
57 113 1
57 321 1
57 68 1
57 152 1
57 127 1
57 168 1
57 303 1
57 338 1
57 193 1
58 331 1
58 167 1
58 172 1
58 332 1
58 78 1
58 451 1
58 122 1
58 437 1
58 160 1
58 80 1
58 410 1
58 214 1
58 248 1
58 251 1
58 219 1
59 497 1
59 422 1
59 137 1
59 352 1
59 283 1
59 88 1
59 342 1
59 98 1
59 442 1
59 445 1
59 487 1
59 430 1
59 270 1
59 159 1
59 182 1
59 252 1
59 75 1
59 409 1
59 237 1
59 322 1
59 361 1
59 385 1
60 169 1
60 390 1
60 446 1
60 302 1
60 477 1
60 372 1
60 376 1
60 115 1
60 420 1
60 436 1
60 367 1
61 400 1
61 243 1
61 108 1
61 391 1
61 335 1
61 345 1
61 195 1
61 85 1
61 261 1
61 338 1
61 381 1
61 131 1
61 325 1
61 255 1
61 260 1
61 493 1
61 302 1
61 82 1
61 299 1
61 382 1
61 445 1
61 429 1
61 438 1
61 208 1
62 461 1
62 459 1
62 90 1
62 74 1
62 119 1
62 133 1
62 485 1
62 257 1
62 372 1
62 482 1
62 173 1
62 110 1
62 392 1
62 111 1
62 381 1
62 106 1
62 148 1
62 332 1
62 456 1
62 229 1
63 87 1
63 139 1
63 204 1
63 318 1
63 214 1
63 426 1
63 196 1
63 292 1
63 315 1
63 77 1
63 158 1
63 320 1
63 429 1
63 290 1
63 409 1
63 239 1
64 323 1
64 343 1
64 146 1
64 80 1
64 247 1
64 399 1
64 349 1
64 476 1
64 459 1
64 381 1
64 229 1
64 98 1
64 131 1
64 209 1
64 284 1
64 458 1
64 403 1
64 444 1
64 456 1
64 89 1
64 178 1
65 432 1
65 80 1
65 189 1
65 302 1
65 445 1
65 318 1
65 438 1
65 358 1
65 83 1
65 465 1
65 372 1
65 104 1
65 150 1
65 332 1
65 491 1
66 195 1
66 106 1
66 214 1
66 120 1
66 221 1
66 197 1
66 121 1
66 330 1
66 91 1
66 465 1
66 346 1
66 286 1
66 280 1
66 322 1
66 258 1
66 426 1
66 445 1
66 467 1
66 453 1
66 343 1
66 433 1
66 210 1
67 291 1
67 182 1
67 443 1
67 117 1
67 195 1
67 318 1
67 428 1
67 207 1
67 187 1
67 311 1
67 246 1
67 385 1
67 357 1
67 299 1
67 157 1
67 287 1
67 349 1
67 332 1
67 107 1
68 345 1
68 174 1
68 141 1
68 242 1
68 247 1
68 463 1
68 195 1
68 150 1
68 120 1
68 244 1
68 484 1
68 323 1
68 218 1
68 456 1
68 312 1
68 408 1
68 123 1
68 425 1
68 203 1
68 75 1
68 432 1
68 249 1
69 350 1
69 263 1
69 395 1
69 315 1
69 376 1
69 98 1
69 266 1
69 409 1
69 493 1
69 437 1
69 443 1
69 379 1
70 453 1
70 465 1
70 418 1
70 74 1
70 423 1
70 106 1
70 310 1
70 365 1
70 443 1
70 336 1
70 363 1
70 84 1
70 131 1
70 292 1
70 338 1
70 334 1
70 384 1
70 248 1
70 164 1
70 317 1
70 358 1
70 474 1
70 208 1
70 430 1
70 500 1
71 489 1
71 94 1
71 138 1
71 102 1
71 181 1
71 339 1
71 400 1
71 382 1
71 272 1
71 324 1
71 257 1
71 162 1
71 388 1
71 412 1
71 244 1
71 331 1
71 334 1
71 267 1
71 297 1
71 268 1
71 201 1
71 444 1
72 321 1
72 327 1
72 203 1
72 170 1
72 304 1
72 96 1
72 451 1
72 314 1
72 119 1
72 305 1
72 331 1
72 260 1
73 306 1
73 355 1
73 205 1
73 284 1
73 461 1
73 449 1
73 270 1
73 338 1
73 249 1
73 412 1
73 316 1
73 141 1
73 194 1
73 272 1
73 243 1
73 166 1
73 133 1
74 452 1
74 481 1
74 482 1
74 254 1
74 117 1
74 301 1
74 204 1
74 355 1
74 296 1
74 471 1
74 478 1
74 433 1
74 277 1
74 228 1
74 495 1
74 374 1
74 432 1
74 291 1
74 107 1
74 193 1
74 310 1
74 334 1
74 248 1
74 297 1
74 114 1
74 351 1
74 137 1
75 289 1
75 440 1
75 151 1
75 133 1
75 380 1
75 120 1
75 164 1
75 418 1
75 307 1
75 456 1
76 291 1
76 365 1
76 377 1
76 83 1
76 342 1
76 149 1
76 390 1
76 202 1
76 116 1
76 370 1
76 95 1
76 489 1
76 380 1
76 180 1
76 378 1
76 147 1
76 488 1
76 90 1
76 362 1
77 126 1
77 431 1
77 260 1
77 108 1
77 298 1
77 406 1
77 496 1
77 394 1
77 367 1
77 193 1
77 437 1
77 330 1
77 264 1
77 262 1
77 285 1
77 349 1
77 333 1
77 113 1
77 415 1
77 103 1
78 356 1
78 89 1
78 284 1
78 357 1
78 336 1
78 349 1
78 355 1
78 112 1
78 176 1
78 96 1
78 148 1
78 407 1
78 377 1
78 289 1
78 370 1
78 183 1
78 436 1
78 394 1
78 101 1
78 172 1
78 312 1
78 467 1
78 274 1
78 135 1
78 256 1
78 458 1
78 121 1
78 345 1
78 179 1
78 294 1
79 335 1
79 270 1
79 111 1
79 140 1
79 342 1
79 385 1
79 254 1
79 418 1
79 313 1
79 354 1
79 258 1
79 358 1
79 315 1
79 89 1
80 286 1
80 201 1
80 247 1
80 388 1
80 142 1
80 429 1
80 471 1
80 168 1
80 127 1
80 199 1
80 478 1
80 226 1
80 284 1
80 89 1
80 263 1
80 156 1
80 289 1
80 189 1
80 149 1
80 304 1
80 126 1
80 306 1
80 298 1
80 426 1
80 235 1
80 495 1
81 367 1
81 242 1
81 421 1
81 488 1
81 213 1
81 431 1
81 326 1
81 472 1
81 83 1
81 328 1
81 354 1
81 399 1
81 252 1
81 144 1
82 460 1
82 114 1
82 118 1
82 91 1
82 272 1
82 286 1
82 470 1
82 244 1
82 137 1
82 241 1
82 331 1
82 222 1
82 439 1
83 159 1
83 451 1
83 310 1
83 440 1
83 123 1
83 362 1
83 195 1
83 346 1
83 404 1
83 343 1
83 297 1
83 337 1
83 247 1
83 415 1
83 264 1
83 279 1
84 333 1
84 151 1
84 135 1
84 112 1
84 345 1
84 330 1
84 499 1
84 221 1
84 164 1
84 306 1
84 388 1
84 131 1
84 159 1
84 271 1
84 322 1
84 418 1
84 294 1
84 209 1
84 458 1
85 402 1
85 432 1
85 484 1
85 277 1
85 263 1
85 348 1
85 299 1
85 380 1
85 177 1
85 331 1
85 116 1
85 239 1
85 449 1
85 232 1
85 462 1
85 385 1
85 324 1
85 388 1
85 88 1
85 185 1
85 143 1
85 133 1
85 433 1
85 264 1
86 89 1
86 331 1
86 204 1
86 400 1
86 370 1
86 311 1
86 364 1
86 366 1
87 188 1
87 329 1
87 293 1
87 154 1
87 363 1
87 390 1
87 161 1
87 436 1
87 409 1
87 179 1
87 263 1
87 269 1
87 246 1
87 98 1
87 410 1
87 302 1
87 430 1
87 313 1
87 232 1
87 499 1
88 455 1
88 390 1
88 143 1
88 124 1
88 199 1
88 203 1
88 299 1
88 225 1
88 331 1
88 180 1
88 141 1
88 322 1
88 334 1
88 189 1
88 304 1
88 374 1
88 483 1
88 387 1
88 382 1
89 459 1
89 165 1
89 297 1
89 365 1
89 229 1
89 476 1
89 436 1
89 394 1
89 300 1
89 484 1
89 224 1
89 197 1
89 115 1
89 331 1
89 363 1
89 275 1
89 171 1
89 157 1
89 305 1
89 465 1
90 310 1
90 405 1
90 107 1
90 152 1
90 185 1
90 389 1
90 159 1
90 234 1
90 301 1
90 383 1
90 378 1
90 260 1
90 111 1
91 342 1
91 303 1
91 444 1
91 425 1
91 177 1
91 135 1
91 397 1
91 124 1
91 281 1
91 130 1
91 355 1
91 191 1
91 445 1
91 461 1
91 161 1
91 297 1
92 306 1
92 270 1
92 117 1
92 107 1
92 221 1
92 274 1
92 160 1
92 495 1
92 159 1
92 265 1
92 147 1
92 327 1
92 500 1
92 330 1
92 309 1
92 336 1
93 436 1
93 486 1
93 219 1
93 342 1
93 166 1
93 172 1
93 435 1
93 423 1
93 332 1
93 427 1
93 263 1
93 131 1
93 133 1
93 444 1
93 199 1
94 109 1
94 245 1
94 385 1
94 441 1
94 358 1
94 216 1
94 226 1
94 141 1
94 229 1
94 243 1
94 170 1
94 121 1
94 480 1
94 500 1
94 147 1
94 345 1
94 487 1
94 180 1
94 106 1
94 260 1
95 249 1
95 341 1
95 459 1
95 177 1
95 300 1
95 375 1
95 250 1
95 377 1
95 164 1
95 386 1
95 292 1
95 444 1
96 485 1
96 383 1
96 136 1
96 188 1
96 103 1
96 387 1
96 196 1
96 439 1
96 349 1
96 115 1
96 281 1
96 157 1
96 453 1
96 270 1
96 410 1
96 490 1
97 456 1
97 357 1
97 302 1
97 328 1
97 399 1
97 139 1
97 118 1
97 386 1
97 211 1
97 177 1
97 144 1
97 113 1
97 271 1
97 277 1
97 310 1
97 479 1
97 164 1
97 474 1
97 135 1
97 147 1
97 345 1
97 159 1
98 249 1
98 284 1
98 371 1
98 126 1
98 309 1
98 454 1
98 268 1
98 384 1
98 381 1
98 292 1
98 131 1
98 221 1
98 263 1
98 341 1
98 227 1
98 106 1
98 403 1
99 384 1
99 249 1
99 299 1
99 171 1
99 431 1
99 134 1
99 363 1
99 434 1
99 166 1
99 115 1
99 359 1
99 395 1
99 491 1
100 129 1
100 219 1
100 364 1
100 461 1
100 401 1
100 393 1
100 102 1
100 322 1
100 205 1
100 104 1
100 376 1
100 286 1
100 497 1
100 333 1
100 275 1
100 123 1
100 242 1
101 500 1
101 452 1
101 143 1
101 134 1
101 377 1
101 123 1
101 467 1
101 380 1
101 441 1
101 189 1
101 271 1
101 405 1
101 156 1
101 461 1
101 409 1
101 299 1
102 140 1
102 245 1
102 231 1
102 143 1
102 490 1
102 339 1
102 500 1
102 338 1
102 348 1
102 254 1
102 316 1
102 420 1
102 423 1
103 168 1
103 440 1
103 200 1
103 288 1
103 364 1
103 432 1
103 474 1
103 246 1
103 222 1
103 379 1
103 420 1
103 239 1
103 252 1
104 440 1
104 111 1
104 236 1
104 133 1
104 310 1
104 463 1
104 426 1
104 391 1
104 464 1
104 119 1
104 192 1
104 134 1
104 409 1
104 317 1
104 386 1
104 469 1
105 428 1
105 245 1
105 437 1
105 401 1
105 293 1
105 320 1
105 264 1
105 360 1
105 373 1
105 483 1
105 407 1
105 269 1
105 459 1
105 450 1
105 498 1
105 197 1
105 152 1
105 177 1
105 403 1
105 426 1
105 289 1
106 134 1
106 139 1
106 138 1
106 289 1
106 160 1
106 355 1
106 442 1
106 229 1
106 291 1
106 292 1
106 399 1
106 241 1
106 429 1
106 181 1
106 186 1
107 365 1
107 159 1
107 230 1
107 462 1
107 340 1
107 234 1
107 319 1
107 125 1
107 372 1
107 453 1
107 362 1
107 171 1
107 193 1
107 208 1
108 295 1
108 128 1
108 486 1
108 256 1
108 245 1
108 259 1
108 385 1
108 271 1
108 268 1
108 355 1
108 171 1
108 387 1
108 127 1
108 133 1
108 266 1
108 221 1
108 172 1
108 125 1
109 374 1
109 200 1
109 258 1
109 386 1
109 382 1
109 135 1
109 131 1
109 210 1
109 167 1
109 231 1
109 274 1
109 272 1
109 149 1
109 433 1
109 487 1
110 336 1
110 239 1
110 263 1
110 362 1
110 493 1
110 413 1
110 209 1
110 318 1
110 472 1
110 361 1
111 491 1
111 293 1
111 257 1
111 446 1
111 123 1
111 339 1
111 427 1
111 222 1
111 352 1
111 303 1
111 124 1
111 430 1
111 117 1
111 338 1
111 359 1
111 493 1
112 308 1
112 248 1
112 271 1
112 432 1
112 321 1
112 210 1
112 136 1
112 329 1
112 159 1
112 306 1
112 318 1
112 412 1
112 289 1
113 351 1
113 408 1
113 187 1
113 224 1
113 368 1
113 496 1
113 403 1
113 251 1
113 454 1
113 470 1
113 264 1
113 198 1
113 277 1
113 371 1
114 472 1
114 353 1
114 116 1
114 175 1
114 303 1
114 179 1
114 198 1
114 455 1
114 413 1
114 197 1
114 264 1
114 155 1
114 176 1
115 118 1
115 309 1
115 267 1
115 436 1
115 430 1
115 289 1
115 489 1
115 358 1
115 274 1
115 194 1
115 314 1
115 181 1
115 425 1
115 464 1
115 285 1
115 214 1
115 172 1
115 152 1
115 434 1
115 163 1
116 475 1
116 416 1
116 216 1
116 388 1
116 345 1
116 427 1
116 211 1
116 406 1
116 310 1
116 187 1
116 117 1
116 439 1
116 255 1
116 419 1
116 362 1
116 331 1
116 242 1
117 489 1
117 140 1
117 347 1
117 184 1
117 273 1
117 147 1
117 235 1
117 178 1
117 429 1
117 149 1
117 208 1
117 355 1
117 266 1
117 305 1
117 176 1
118 201 1
118 235 1
118 351 1
118 463 1
118 319 1
118 247 1
118 486 1
118 316 1
118 220 1
118 139 1
118 170 1
118 286 1
118 183 1
118 450 1
118 190 1
118 298 1
118 126 1
119 383 1
119 482 1
119 166 1
119 237 1
119 493 1
119 244 1
119 175 1
119 437 1
119 271 1
119 422 1
119 219 1
119 473 1
119 378 1
119 160 1
119 122 1
119 146 1
120 329 1
120 366 1
120 128 1
120 349 1
120 300 1
120 186 1
120 172 1
120 373 1
120 419 1
120 364 1
120 134 1
120 299 1
121 334 1
121 446 1
121 157 1
121 211 1
121 277 1
121 231 1
121 199 1
121 442 1
121 350 1
121 132 1
121 434 1
121 458 1
121 269 1
121 339 1
121 429 1
122 185 1
122 354 1
122 441 1
122 376 1
122 161 1
122 477 1
122 320 1
122 400 1
122 226 1
122 433 1
122 130 1
122 238 1
122 473 1
122 249 1
122 149 1
123 276 1
123 457 1
123 404 1
123 201 1
123 170 1
123 298 1
123 168 1
123 484 1
123 463 1
123 161 1
123 348 1
123 318 1
123 303 1
123 382 1
123 428 1
123 419 1
124 382 1
124 432 1
124 328 1
124 429 1
124 408 1
124 444 1
124 169 1
124 161 1
124 473 1
124 323 1
124 365 1
125 325 1
125 286 1
125 413 1
125 482 1
125 201 1
125 347 1
125 139 1
125 442 1
125 261 1
125 175 1
125 448 1
125 161 1
125 469 1
125 239 1
125 456 1
125 351 1
126 256 1
126 362 1
126 230 1
126 210 1
126 381 1
126 140 1
126 267 1
126 341 1
126 225 1
126 376 1
126 224 1
126 383 1
126 266 1
126 355 1
126 240 1
126 493 1
126 207 1
126 183 1
126 424 1
127 336 1
127 351 1
127 274 1
127 149 1
127 496 1
127 311 1
127 234 1
127 420 1
127 344 1
127 418 1
127 176 1
127 459 1
127 208 1
127 362 1
127 388 1
128 147 1
128 481 1
128 371 1
128 130 1
128 417 1
128 410 1
128 342 1
128 178 1
129 438 1
129 376 1
129 398 1
129 278 1
129 316 1
129 135 1
129 388 1
129 468 1
129 420 1
129 302 1
129 222 1
129 435 1
129 480 1
129 141 1
129 483 1
129 206 1
130 348 1
130 363 1
130 433 1
130 482 1
130 412 1
130 317 1
130 231 1
130 372 1
130 384 1
130 385 1
130 207 1
130 463 1
130 382 1
130 268 1
130 431 1
130 298 1
131 286 1
131 452 1
131 402 1
131 456 1
131 241 1
131 186 1
131 454 1
131 245 1
131 424 1
131 472 1
131 219 1
131 257 1
131 490 1
131 309 1
132 362 1
132 401 1
132 285 1
132 164 1
132 353 1
132 223 1
132 395 1
132 158 1
132 317 1
132 303 1
132 355 1
132 216 1
132 277 1
132 204 1
132 373 1
133 471 1
133 255 1
133 138 1
133 400 1
133 156 1
133 209 1
133 312 1
